About,关于,
Accepted,已接受,
Account,科目,
Amount,金额,
Attachment,附件,
Attachments,附件,
Cancelled,已取消,
Company,公司,
Configuration,配置,
Confirmed,确认,
Create,创建,
Currency,货币,
Date,日期,
Delivered,已出货,
Description,描述,
Document Type,单据类型,
Draft,草稿,
Due Date,到期日,
Email,邮件,
Expense Account,费用科目,
Failed,失败,
File,文件,
"Fiscal Regime is mandatory, kindly set the fiscal regime in the company {0}",财政制度是强制性的，请在公司{0}设定财政制度,
Frappe Support,Frappe支持,
Grand Total,总计,
Invalid,无效,
Invoice,发票,
Item,物料,
Item Tax Template,物料税费模板,
Items,物料,
Keyboard Shortcuts,键盘快捷键,
Line,行,
Naming Series,单据编号模板,
Net Amount,净额,
Net Total,净总计,
Notes,备注,
Number,数值,
Operations,工序,
Payable Account,应付科目,
Payments,付款,
Pending,待处理,
Posting Date,记账日期,
Purchase Invoice,采购发票,
Qty,数量,
Queued,排队,
Rate,单价,
Refresh,刷新,
Rejected,拒绝,
Review,评审,
Sales Invoice,销售发票,
Save,保存,
Sending,发送中,
Sent,已发送,
Supplier,供应商,
Supplier Invoice Date,供应商发票日期,
System Health,系统健康状态,
Tax,税,
Tax Amount,税额,
Tax ID,纳税登记号,
Tax Total,总税额,
Taxable Amount,应税金额,
Type,类型,
UOM,单位,
